project,class,complexity,final_iteration_num,final_line_coverage,final_branch_coverage,is_double_zero,report_file
JacksonCore-26f,ByteSourceJsonBootstrapper,22,15,42.27,31.16,false,result-files/control_gpt-4o-mini/ByteSourceJsonBootstrapper_control_test_results.html
Csv-16f,CSVFormat,25,19,72.82,55.94,false,result-files/control_gpt-4o-mini/CSVFormat_control_test_results.html
Csv-16f,CSVParser,11,8,66.34,30.36,false,result-files/control_gpt-4o-mini/CSVParser_control_test_results.html
Jsoup-93f,CharacterReader,11,5,86.22,73.00,false,result-files/control_gpt-4o-mini/CharacterReader_control_test_results.html
JacksonDatabind-112f,ClassUtil,15,14,45.29,45.45,false,result-files/control_gpt-4o-mini/ClassUtil_control_test_results.html
Lang-4f,ClassUtils,19,18,61.74,48.26,false,result-files/control_gpt-4o-mini/ClassUtils_control_test_results.html
Codec-18f,ColognePhonetic,22,4,84.88,73.26,false,result-files/control_gpt-4o-mini/ColognePhonetic_control_test_results.html
Lang-4f,CompareToBuilder,15,14,55.86,50.42,false,result-files/control_gpt-4o-mini/CompareToBuilder_control_test_results.html
Lang-4f,Conversion,23,22,52.78,51.97,false,result-files/control_gpt-4o-mini/Conversion_control_test_results.html
Compress-47f,CpioArchiveInputStream,12,11,29.22,31.48,false,result-files/control_gpt-4o-mini/CpioArchiveInputStream_control_test_results.html
JxPath-22f,DOMNodePointer,12,9,25.71,20.65,false,result-files/control_gpt-4o-mini/DOMNodePointer_control_test_results.html
Jsoup-93f,DataUtil,22,14,89.29,63.00,false,result-files/control_gpt-4o-mini/DataUtil_control_test_results.html
Time-13f,DateTimeFormatterBuilder,30,7,33.85,36.89,false,result-files/control_gpt-4o-mini/DateTimeFormatterBuilder_control_test_results.html
Time-13f,DateTimeParserBucket,18,5,68.52,58.06,false,result-files/control_gpt-4o-mini/DateTimeParserBucket_control_test_results.html
Time-13f,DateTimeZoneBuilder,17,5,78.32,62.50,false,result-files/control_gpt-4o-mini/DateTimeZoneBuilder_control_test_results.html
Lang-4f,DateUtils,19,18,65.48,47.25,false,result-files/control_gpt-4o-mini/DateUtils_control_test_results.html
Time-13f,Days,12,7,94.74,87.18,false,result-files/control_gpt-4o-mini/Days_control_test_results.html
JxPath-22f,DescendantContext,11,2,0.00,0.00,true,result-files/control_gpt-4o-mini/DescendantContext_control_test_results.html
Math-2f,DfpMath,28,2,0.00,0.00,true,result-files/control_gpt-4o-mini/DfpMath_control_test_results.html
Math-2f,Dfp,31,8,54.01,48.20,false,result-files/control_gpt-4o-mini/Dfp_control_test_results.html
Codec-18f,DoubleMetaphone,31,11,33.41,23.06,false,result-files/control_gpt-4o-mini/DoubleMetaphone_control_test_results.html
Lang-4f,DurationFormatUtils,20,18,83.26,72.93,false,result-files/control_gpt-4o-mini/DurationFormatUtils_control_test_results.html
Lang-4f,EqualsBuilder,14,13,71.37,62.50,false,result-files/control_gpt-4o-mini/EqualsBuilder_control_test_results.html
Gson-16f,Excluder,11,9,87.64,71.95,false,result-files/control_gpt-4o-mini/Excluder_control_test_results.html
Lang-4f,ExtendedMessageFormat,11,7,75.27,53.15,false,result-files/control_gpt-4o-mini/ExtendedMessageFormat_control_test_results.html
Compress-47f,ExtraFieldUtils,13,6,44.66,17.39,false,result-files/control_gpt-4o-mini/ExtraFieldUtils_control_test_results.html
Lang-4f,FastDatePrinter,30,6,56.47,48.04,false,result-files/control_gpt-4o-mini/FastDatePrinter_control_test_results.html
Math-2f,FastFourierTransformer,13,4,66.47,63.49,false,result-files/control_gpt-4o-mini/FastFourierTransformer_control_test_results.html
Math-2f,FastMath,29,22,44.28,23.19,false,result-files/control_gpt-4o-mini/FastMath_control_test_results.html
Math-2f,FieldLUDecomposition,12,2,0.00,0.00,true,result-files/control_gpt-4o-mini/FieldLUDecomposition_control_test_results.html
Lang-4f,FieldUtils,18,10,43.36,47.22,false,result-files/control_gpt-4o-mini/FieldUtils_control_test_results.html
Collections-28f,Flat3Map,23,15,83.80,67.59,false,result-files/control_gpt-4o-mini/Flat3Map_control_test_results.html
Jsoup-93f,FormElement,12,11,92.86,96.67,false,result-files/control_gpt-4o-mini/FormElement_control_test_results.html
Time-13f,FormatUtils,12,8,59.60,53.92,false,result-files/control_gpt-4o-mini/FormatUtils_control_test_results.html
Math-2f,Frequency,11,10,90.54,83.93,false,result-files/control_gpt-4o-mini/Frequency_control_test_results.html
JacksonXml-5f,FromXmlParser,29,2,0.00,0.00,true,result-files/control_gpt-4o-mini/FromXmlParser_control_test_results.html
Math-2f,GaussNewtonOptimizer,16,3,21.31,11.54,false,result-files/control_gpt-4o-mini/GaussNewtonOptimizer_control_test_results.html
Gson-16f,Gson,22,3,69.96,35.19,false,result-files/control_gpt-4o-mini/Gson_control_test_results.html
Compress-47f,GzipCompressorInputStream,11,6,52.73,42.47,false,result-files/control_gpt-4o-mini/GzipCompressorInputStream_control_test_results.html
Lang-4f,HashCodeBuilder,11,7,75.97,68.37,false,result-files/control_gpt-4o-mini/HashCodeBuilder_control_test_results.html
Cli-40f,HelpFormatter,11,7,64.62,43.44,false,result-files/control_gpt-4o-mini/HelpFormatter_control_test_results.html
Time-13f,Hours,13,3,37.18,20.00,false,result-files/control_gpt-4o-mini/Hours_control_test_results.html
Jsoup-93f,HtmlTreeBuilder,15,2,0.00,0.00,true,result-files/control_gpt-4o-mini/HtmlTreeBuilder_control_test_results.html
Time-13f,ISODateTimeFormat,11,4,34.84,21.37,false,result-files/control_gpt-4o-mini/ISODateTimeFormat_control_test_results.html
Collections-28f,IterableUtils,11,10,92.86,91.94,false,result-files/control_gpt-4o-mini/IterableUtils_control_test_results.html
Collections-28f,IteratorUtils,32,26,88.44,88.03,false,result-files/control_gpt-4o-mini/IteratorUtils_control_test_results.html
JxPath-22f,JDOMNodePointer,12,11,44.59,38.05,false,result-files/control_gpt-4o-mini/JDOMNodePointer_control_test_results.html
JxPath-22f,JXPathBasicBeanInfo,14,6,93.33,90.00,false,result-files/control_gpt-4o-mini/JXPathBasicBeanInfo_control_test_results.html
Gson-16f,JsonReader,37,11,55.42,44.35,false,result-files/control_gpt-4o-mini/JsonReader_control_test_results.html
JacksonCore-26f,JsonStringEncoder,18,9,35.85,36.54,false,result-files/control_gpt-4o-mini/JsonStringEncoder_control_test_results.html
Gson-16f,JsonTreeReader,23,6,80.24,74.44,false,result-files/control_gpt-4o-mini/JsonTreeReader_control_test_results.html
Math-2f,LUDecomposition,12,7,94.12,87.04,false,result-files/control_gpt-4o-mini/LUDecomposition_control_test_results.html
Csv-16f,Lexer,14,2,0.00,0.00,true,result-files/control_gpt-4o-mini/Lexer_control_test_results.html
Lang-4f,LocaleUtils,19,11,87.91,80.00,false,result-files/control_gpt-4o-mini/LocaleUtils_control_test_results.html
Math-2f,LoessInterpolator,16,5,91.38,82.69,false,result-files/control_gpt-4o-mini/LoessInterpolator_control_test_results.html
Collections-28f,MapUtils,11,10,38.56,43.09,false,result-files/control_gpt-4o-mini/MapUtils_control_test_results.html
Math-2f,MathArrays,13,8,39.36,39.36,false,result-files/control_gpt-4o-mini/MathArrays_control_test_results.html
Codec-18f,Md5Crypt,11,6,96.97,92.31,false,result-files/control_gpt-4o-mini/Md5Crypt_control_test_results.html
JxPath-22f,MethodLookupUtils,16,2,0.00,0.00,true,result-files/control_gpt-4o-mini/MethodLookupUtils_control_test_results.html
Math-2f,MillerUpdatingRegression,21,2,0.00,0.00,true,result-files/control_gpt-4o-mini/MillerUpdatingRegression_control_test_results.html
Time-13f,Months,17,16,93.59,93.18,false,result-files/control_gpt-4o-mini/Months_control_test_results.html
Math-2f,MultiStartUnivariateOptimizer,12,2,0.00,0.00,true,result-files/control_gpt-4o-mini/MultiStartUnivariateOptimizer_control_test_results.html
Math-2f,MultivariateNormalMixtureExpectationMaximization,15,3,26.13,31.48,false,result-files/control_gpt-4o-mini/MultivariateNormalMixtureExpectationMaximization_control_test_results.html
JacksonCore-26f,NameN,15,12,84.62,84.38,false,result-files/control_gpt-4o-mini/NameN_control_test_results.html
Math-2f,NaturalRanking,13,4,71.76,75.00,false,result-files/control_gpt-4o-mini/NaturalRanking_control_test_results.html
Jsoup-93f,NodeTraversor,12,3,37.88,32.61,false,result-files/control_gpt-4o-mini/NodeTraversor_control_test_results.html
JacksonDatabind-112f,NumberDeserializers,22,18,97.92,97.73,false,result-files/control_gpt-4o-mini/NumberDeserializers_control_test_results.html
JacksonCore-26f,NumberInput,12,11,75.94,70.64,false,result-files/control_gpt-4o-mini/NumberInput_control_test_results.html
Lang-4f,NumericEntityUnescaper,12,4,87.80,79.17,false,result-files/control_gpt-4o-mini/NumericEntityUnescaper_control_test_results.html
Lang-4f,ObjectUtils,11,10,82.81,87.80,false,result-files/control_gpt-4o-mini/ObjectUtils_control_test_results.html
JacksonDatabind-112f,ObjectWriter,11,10,58.99,57.89,false,result-files/control_gpt-4o-mini/ObjectWriter_control_test_results.html
Math-2f,OpenIntToDoubleHashMap,15,5,68.15,55.88,false,result-files/control_gpt-4o-mini/OpenIntToDoubleHashMap_control_test_results.html
Math-2f,OrderedTuple,13,6,91.87,73.40,false,result-files/control_gpt-4o-mini/OrderedTuple_control_test_results.html
JacksonDatabind-112f,POJOPropertiesCollector,16,2,0.00,0.00,true,result-files/control_gpt-4o-mini/POJOPropertiesCollector_control_test_results.html
JxPath-22f,PackageFunctions,18,3,30.00,20.00,false,result-files/control_gpt-4o-mini/PackageFunctions_control_test_results.html
Time-13f,PeriodFormatterBuilder,26,6,64.94,50.60,false,result-files/control_gpt-4o-mini/PeriodFormatterBuilder_control_test_results.html
Time-13f,PeriodType,17,9,85.08,68.27,false,result-files/control_gpt-4o-mini/PeriodType_control_test_results.html
Codec-18f,PhoneticEngine,13,2,0.00,0.00,true,result-files/control_gpt-4o-mini/PhoneticEngine_control_test_results.html
Cli-40f,PosixParser,11,6,86.96,65.38,false,result-files/control_gpt-4o-mini/PosixParser_control_test_results.html
JxPath-22f,PredicateContext,12,2,0.00,0.00,true,result-files/control_gpt-4o-mini/PredicateContext_control_test_results.html
Math-2f,ProperBigFractionFormat,11,8,91.04,88.89,false,result-files/control_gpt-4o-mini/ProperBigFractionFormat_control_test_results.html
JxPath-22f,PropertyIterator,13,2,0.00,0.00,true,result-files/control_gpt-4o-mini/PropertyIterator_control_test_results.html
Collections-28f,PrototypeFactory,16,2,0.00,0.00,true,result-files/control_gpt-4o-mini/PrototypeFactory_control_test_results.html
Math-2f,QRDecomposition,14,9,97.40,97.62,false,result-files/control_gpt-4o-mini/QRDecomposition_control_test_results.html
Codec-18f,QuotedPrintableCodec,11,10,77.24,68.29,false,result-files/control_gpt-4o-mini/QuotedPrintableCodec_control_test_results.html
Lang-4f,RandomStringUtils,16,12,86.21,91.07,false,result-files/control_gpt-4o-mini/RandomStringUtils_control_test_results.html
JacksonCore-26f,ReaderBasedJsonParser,30,5,5.40,2.58,false,result-files/control_gpt-4o-mini/ReaderBasedJsonParser_control_test_results.html
Math-2f,RealMatrixFormat,16,4,72.64,65.91,false,result-files/control_gpt-4o-mini/RealMatrixFormat_control_test_results.html
Math-2f,Rotation,25,16,39.73,48.15,false,result-files/control_gpt-4o-mini/Rotation_control_test_results.html
JxPath-22f,SimpleCharStream,19,2,0.00,0.00,true,result-files/control_gpt-4o-mini/SimpleCharStream_control_test_results.html
Math-2f,SimpleRegression,13,12,74.89,62.90,false,result-files/control_gpt-4o-mini/SimpleRegression_control_test_results.html
JacksonDatabind-112f,SimpleType,16,7,60.44,50.00,false,result-files/control_gpt-4o-mini/SimpleType_control_test_results.html
Math-2f,SmoothingPolynomialBicubicSplineInterpolator,13,2,100.00,93.75,false,result-files/control_gpt-4o-mini/SmoothingPolynomialBicubicSplineInterpolator_control_test_results.html
JacksonXml-5f,StaxUtil,12,10,90.00,82.50,false,result-files/control_gpt-4o-mini/StaxUtil_control_test_results.html
JacksonDatabind-112f,StdDateFormat,15,14,83.39,70.23,false,result-files/control_gpt-4o-mini/StdDateFormat_control_test_results.html
JxPath-22f,Step,15,14,88.89,74.00,false,result-files/control_gpt-4o-mini/Step_control_test_results.html
Lang-4f,StringUtils,14,11,13.43,11.68,false,result-files/control_gpt-4o-mini/StringUtils_control_test_results.html
Math-2f,SummaryStatistics,13,6,70.31,58.62,false,result-files/control_gpt-4o-mini/SummaryStatistics_control_test_results.html
Jsoup-93f,Tag,11,6,87.25,51.52,false,result-files/control_gpt-4o-mini/Tag_control_test_results.html
Compress-47f,TarArchiveInputStream,13,12,52.15,41.94,false,result-files/control_gpt-4o-mini/TarArchiveInputStream_control_test_results.html
JacksonXml-5f,ToXmlGenerator,20,2,0.00,0.00,true,result-files/control_gpt-4o-mini/ToXmlGenerator_control_test_results.html
JacksonCore-26f,TokenFilterContext,11,10,61.59,44.44,false,result-files/control_gpt-4o-mini/TokenFilterContext_control_test_results.html
Jsoup-93f,TokenQueue,12,9,83.69,70.00,false,result-files/control_gpt-4o-mini/TokenQueue_control_test_results.html
Jsoup-93f,Tokeniser,18,8,68.79,36.17,false,result-files/control_gpt-4o-mini/Tokeniser_control_test_results.html
Math-2f,TricubicSplineInterpolator,23,5,26.58,25.93,false,result-files/control_gpt-4o-mini/TricubicSplineInterpolator_control_test_results.html
JacksonDatabind-112f,TypeFactory,14,12,53.32,44.61,false,result-files/control_gpt-4o-mini/TypeFactory_control_test_results.html
JacksonCore-26f,UTF32Reader,14,6,37.62,31.67,false,result-files/control_gpt-4o-mini/UTF32Reader_control_test_results.html
JacksonCore-26f,UTF8JsonGenerator,11,2,0.00,0.00,true,result-files/control_gpt-4o-mini/UTF8JsonGenerator_control_test_results.html
JxPath-22f,ValueUtils,12,6,32.11,36.49,false,result-files/control_gpt-4o-mini/ValueUtils_control_test_results.html
JacksonXml-5f,XmlFactory,25,11,48.36,47.12,false,result-files/control_gpt-4o-mini/XmlFactory_control_test_results.html
Compress-47f,ZipArchiveInputStream,18,4,28.04,9.23,false,result-files/control_gpt-4o-mini/ZipArchiveInputStream_control_test_results.html
Time-13f,ZoneInfoCompiler,18,7,56.20,44.76,false,result-files/control_gpt-4o-mini/ZoneInfoCompiler_control_test_results.html
